a	b	x	f(a)	f(b)	f(x)	|a-b|	
-1,6	-0,8	-1,2	0,9282001	-1,4126	-0,03099985	0,8	
-1,6	-1,2	-1,4	0,9282001	-0,03099985	0,5254002	0,4	
-1,4	-1,2	-1,3	0,5254002	-0,03099985	0,2634002	0,2	
-1,3	-1,2	-1,25	0,2634002	-0,03099985	0,119875	0,1	
-1,25	-1,2	-1,225	0,119875	-0,03099985	0,04530945	0,04999995	
-1,225	-1,2	-1,2125	0,04530945	-0,03099985	0,007367088	0,02499998	
-1,2125	-1,2	-1,20625	0,007367088	-0,03099985	-0,01176409	0,01250005	
-1,2125	-1,20625	-1,209375	0,007367088	-0,01176409	-0,002185152	0,006250024	
-1,2125	-1,209375	-1,210938	0,007367088	-0,002185152	0,002594271	0,003124952	
-1,210938	-1,209375	-1,210156	0,002594271	-0,002185152	0,0002055661	0,001562476	
-1,210156	-1,209375	-1,209766	0,0002055661	-0,002185152	-0,0009895869	0,0007812977	
-1,210156	-1,209766	-1,209961	0,0002055661	-0,0009895869	-0,0003917766	0,0003906488	
-1,210156	-1,209961	-1,210059	0,0002055661	-0,0003917766	-9,309236E-05	0,0001952648	
